Principal City,Detection Value,Water System ID,Water System Name,Lab Sample No.,Collection Date,Sample Type,Analyte Code,Analyte Name,Sampling Point ID,Monitoring Period Begin Date,Monitoring Period End Date,WSF ID,Sampling Point Type
 ,<2 NG/L     ,VA3001330,"TYSON FARMS, INC",FIELD BLANK,3/10/2026,FB,2801,PERFLUOROBUTANE SULFONIC ACID (PFBS),EP001       ,,,EP001,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-1,2/16/2026,RT,2824,PERFLUOROPENTANOIC ACID (PFPEA) ,EP001       ,,,EP001,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-1,2/16/2026,RT,2808,PERFLUORODODECANOIC ACID (PFDOA),EP001       ,,,EP001,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-1,2/16/2026,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-1,2/16/2026,RT,2802,PERFLUOROHEPTANOIC ACID (PFHPA),EP001       ,,,EP001,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-2,2/16/2026,RT,2812,PERFLUOROUNDECANOIC ACID (PFUNA),EP002       ,,,EP002,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-2,2/16/2026,RT,2820,PERFLUOROOCTANE SULFONIC ACID 6:2 FTS ,EP002       ,,,EP002,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-3,2/16/2026,RT,2824,PERFLUOROPENTANOIC ACID (PFPEA) ,EP003       ,,,EP003,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-4,2/16/2026,RT,2826,PERFLUORO PFEESA ,EP004       ,,,EP004,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-1 FB,2/16/2026,FB,2822,PERFLUORODECANE SULFONIC ACID 8:2 FTS ,EP001       ,,,EP001,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-1 FB,2/16/2026,FB,2806,PERFLUOROCTANOIC ACID (PFOA),EP001       ,,,EP001,EP
 ,<2 NG/L     ,VA3001100,CAPTAINS COVE,CAPTAINS COVE-2 FB,2/16/2026,FB,2823,PERFLUORO PFMPA,EP002       ,,,EP002,EP
